restaurants open at 10 morning time,/->/s/#let s go{'time'= '10:00 am'|1|'10 morning time')}
book blu sardinia at 17:30,/s/->/book/details#time{'time'= '5:30 pm'|1|'17:30'; 'restaurant'= 'blu sardinia'|1|'blu sardinia')}
available seattle restaurants at 8:30 pm time,/->/s/#let s go{'location restaurant or cuisine'= 'seattle'|0|'seattle'; 'time'= '8:30 pm'|1|'8:30 pm time')}
find me kirkland restaurants for me and my friend on july 23 2019 at 2:30 in the morning,/->/s/#let s go{'location restaurant or cuisine'= 'kirkland'|0|'kirkland'; 'date'= '23 jul'|1|'july 23  2019'; 'time'= '2:30 am'|1|'2:30 in the morning'; 'people'= '2 people'|1|'me and my friend')}
ristorante paradiso may work can you tell me more about it,/s/->restaurant#restaurant{'restaurant'= 'ristorante paradiso'|1|'ristorante paradiso')}
make a reservation for a osteria langhe restaurant,/->/s/#let s go{'location restaurant or cuisine'= 'osteria langhe'|0|'osteria langhe restaurant')}
some blu sardinia restaurants on december 20 2019,/->/s/#let s go{'location restaurant or cuisine'= 'blu sardinia'|0|'blu sardinia'; 'date'= '20 dec'|1|'december 20  2019')}
some southeast asian restaurants for october 3 2019,/s/->/s/#find table{'date'= '3 oct'|1|'october 3  2019'; 'location restaurant or cuisine'= 'southeast asian'|0|'southeast asian')}
find me mexican restaurants on 2 dec 2019 at 5:30 am in the morning,/->/s/#let s go{'location restaurant or cuisine'= 'mexican'|0|'mexican'; 'date'= '2 dec'|1|'2 dec 2019'; 'time'= '5:30 am'|1|'5:30 am in the morning')}
more details on daniel s broiler bellevue,/s/->restaurant#restaurant{'restaurant'= 'daniel s broiler bellevue'|1|'daniel s broiler bellevue')}
find me renton restaurants,/->/s/#let s go{'location restaurant or cuisine'= 'renton'|0|'renton')}||/s/->/s/#find table{'location restaurant or cuisine'= 'renton'|0|'renton')}
do not reserve this restaurant,/book/view->/book/cancel#cancel{'cancel'= 'cancel'|1|'do not reserve this restaurant')}
what's available at 1:30,/->/s/#let s go{'time'= '1:30 am'|1|'1:30')}
reserve this one and give sarah whitaker as contact person,/book/details->/book/view#complete reservation{'first name'= 'sarah'|0|'sarah'; 'last name'= 'whitaker'|0|'whitaker')}
find me burgers restaurants for just me and susan on 3 oct 2019 at 1:30 morning time,/s/->/s/#find table{'date'= '3 oct'|1|'3 oct 2019'; 'time'= '1:30 am'|1|'1:30 morning time'; 'people'= '2 people'|1|'just me and susan'; 'location restaurant or cuisine'= 'burgers'|0|'burgers')}
find me oregon restaurants on 16 aug 2019 at 8:30 morning time,/s/->/s/#find table{'date'= '16 aug'|1|'16 aug 2019'; 'time'= '8:30 am'|1|'8:30 morning time'; 'location restaurant or cuisine'= 'oregon'|0|'oregon')}
proceed with carmine's bellevue at 5:45 evening time,/s/->/book/details#time{'time'= '5:45 pm'|1|'5:45 evening time'; 'restaurant'= "carmine's bellevue"|1|"carmine's bellevue")}
I'd like something with outside seating seating,/s/->/s/#seating option{'seating option'= 'outdoor'|1|'outside seating')}
available osteria langhe restaurant restaurants on 15 oct 2019 at 3 am time,/->/s/#let s go{'location restaurant or cuisine'= 'osteria langhe'|0|'osteria langhe restaurant'; 'date'= '15 oct'|1|'15 oct 2019'; 'time'= '3:00 am'|1|'3 am time')}
Is the restaurant available at 7 pm time,restaurant->/book/details#time{'time'= '7:00 pm'|1|'7 pm time')}
select the bistro at hollywood schoolhouse,/s/->restaurant#restaurant{'restaurant'= 'the bistro at hollywood schoolhouse'|1|'the bistro at hollywood schoolhouse')}
is it available on december 31 2019 at 8:30 in the evening,restaurant->restaurant#find table{'time'= '8:30 pm'|1|'8:30 in the evening'; 'date'= '31 dec'|1|'december 31  2019')}
salads,restaurant->restaurant#menu type{'menu type'= 'vegetarian menu'|1|'salads')}
what's available for 6 persons on november 18 2019,/->/s/#let s go{'date'= '18 nov'|1|'november 18  2019'; 'people'= '6 people'|1|'6 persons')}
which munich restaurants are available on august 7 2019,/->/s/#let s go{'location restaurant or cuisine'= 'munich'|0|'munich'; 'date'= '7 aug'|1|'august 7  2019')}
find me a restaurant for 16:30,/->/s/#let s go{'time'= '4:30 pm'|1|'16:30')}||/s/->/s/#find table{'time'= '4:30 pm'|1|'16:30')}
available eden restaurant restaurants for 19 persons on september 12 2019,/->/s/#let s go{'location restaurant or cuisine'= 'eden'|0|'eden restaurant'; 'date'= '12 sep'|1|'september 12  2019'; 'people'= '19 people'|1|'19 persons')}
find me beachhouse bar grill restaurants on 19 dec 2019,/->/s/#let s go{'location restaurant or cuisine'= 'beachhouse bar grill'|0|'beachhouse bar grill'; 'date'= '19 dec'|1|'19 dec 2019')}
more info on andiamo bellevue,/s/->restaurant#restaurant{'restaurant'= 'andiamo bellevue'|1|'andiamo bellevue')}
available indian restaurants at 7 morning time,/s/->/s/#find table{'time'= '7:00 am'|1|'7 morning time'; 'location restaurant or cuisine'= 'indian'|0|'indian')}
available restaurants for a small group of 3 on november 12 2019 at 1:00 am in the morning,/->/s/#let s go{'date'= '12 nov'|1|'november 12  2019'; 'time'= '1:00 am'|1|'1:00 am in the morning'; 'people'= '3 people'|1|'a small group of 3')}
can they accomodate about 7 people on september 11 2019,restaurant->restaurant#find table{'date'= '11 sep'|1|'september 11  2019'; 'party size'= '7'|1|'about 7 people')}
I need a reservation at this place at 5:30 pm in the evening,restaurant->/book/details#time{'time'= '5:30 pm'|1|'5:30 pm in the evening')}
find me a restaurant for 19 on october 24 2019 at 6:30 am time,/s/->/s/#find table{'date'= '24 oct'|1|'october 24  2019'; 'time'= '6:30 am'|1|'6:30 am time'; 'people'= '19 people'|1|'19')}
options in seatac only,State->City#city{'city'= 'seatac'|1|'seatac')}
book me a lot no 3 restaurant for 12 on 12 nov 2019 at 11 pm time,/->/s/#let s go{'location restaurant or cuisine'= 'lot no 3'|0|'lot no 3'; 'date'= '12 nov'|1|'12 nov 2019'; 'time'= '11:00 pm'|1|'11 pm time'; 'people'= '12 people'|1|'12')}
make the reservation now for 7:00 pm time,restaurant->/book/details#time{'time'= '7:00 pm'|1|'7:00 pm time')}
available burgers restaurants on december 23 2019,/s/->/s/#find table{'date'= '23 dec'|1|'december 23  2019'; 'location restaurant or cuisine'= 'burgers'|0|'burgers')}
I want to know more about barking frog,/s/->restaurant#restaurant{'restaurant'= 'barking frog'|1|'barking frog')}
available bar food restaurants at 11 am time,/s/->/s/#find table{'time'= '11:00 am'|1|'11 am time'; 'location restaurant or cuisine'= 'bar food'|0|'bar food')}
restaurants open at 7 am time,/->/s/#let s go{'time'= '7:00 am'|1|'7 am time')}||/s/->/s/#find table{'time'= '7:00 am'|1|'7 am time')}
which milan restaurants are available on 20 sep 2019,/->/s/#let s go{'location restaurant or cuisine'= 'milan'|0|'milan'; 'date'= '20 sep'|1|'20 sep 2019')}
find me blvd restaurant restaurants on 26 sep 2019,/->/s/#let s go{'location restaurant or cuisine'= 'blvd'|0|'blvd restaurant'; 'date'= '26 sep'|1|'26 sep 2019')}
restaurants open at 3 morning time,/->/s/#let s go{'time'= '3:00 am'|1|'3 morning time')}||/s/->/s/#find table{'time'= '3:00 am'|1|'3 morning time')}
available rome restaurants for a group of 10 friends on 9 aug 2019 at 6:30 am in the morning,/s/->/s/#find table{'date'= '9 aug'|1|'9 aug 2019'; 'time'= '6:30 am'|1|'6:30 am in the morning'; 'people'= '10 people'|1|'a group of 10 friends'; 'location restaurant or cuisine'= 'rome'|0|'rome')}
some bellevue restaurants for 3 dec 2019,/s/->/s/#find table{'date'= '3 dec'|1|'3 dec 2019'; 'location restaurant or cuisine'= 'bellevue'|0|'bellevue')}
Is the restaurant available at 7:30 in the evening,restaurant->/book/details#time{'time'= '7:30 pm'|1|'7:30 in the evening')}
is 18:15 still available,restaurant->/book/details#time{'time'= '6:15 pm'|1|'18:15')}
make a reservation for a seafood,/s/->/s/#find table{'location restaurant or cuisine'= 'seafood'|0|'seafood')}
find me a restaurant for 16 on 25 nov 2019,/->/s/#let s go{'date'= '25 nov'|1|'25 nov 2019'; 'people'= '16 people'|1|'16')}
book carmine's bellevue at 8:00 pm in the evening,/s/->/book/details#time{'time'= '8:00 pm'|1|'8:00 pm in the evening'; 'restaurant'= "carmine's bellevue"|1|"carmine's bellevue")}
which eden restaurant restaurants are available for just for 17,/->/s/#let s go{'location restaurant or cuisine'= 'eden'|0|'eden restaurant'; 'people'= '17 people'|1|'just for 17')}
find me agave cocina cantina redmond restaurants for a party of 12 people on july 1 2019 at 12:30 in the night,/->/s/#let s go{'location restaurant or cuisine'= 'agave cocina cantina redmond'|0|'agave cocina cantina redmond'; 'date'= '1 jul'|1|'july 1  2019'; 'time'= '12:30 pm'|1|'12:30 in the night'; 'people'= '12 people'|1|'a party of 12 people')}
blvd restaurant may work can you tell me more about it,City->restaurant#select restaurant{'select restaurant'= 'blvd'|1|'blvd restaurant')}
anything free at 11 pm time,restaurant->restaurant#find table{'time'= '11:00 pm'|1|'11 pm time')}
available tao chicago restaurant restaurants on 1 nov 2019,/s/->/s/#find table{'date'= '1 nov'|1|'1 nov 2019'; 'location restaurant or cuisine'= 'tao chicago'|0|'tao chicago restaurant')}
find me a restaurant for a party of 20 people on 26 sep 2019,/s/->/s/#find table{'date'= '26 sep'|1|'26 sep 2019'; 'people'= '20 people'|1|'a party of 20 people')}
I would like for you to make this reservation for me for 7 in the evening,restaurant->/book/details#time{'time'= '7:00 pm'|1|'7 in the evening')}
find me blu sardinia restaurants for the 5 of us,/s/->/s/#find table{'people'= '5 people'|1|'the 5 of us'; 'location restaurant or cuisine'= 'blu sardinia'|0|'blu sardinia')}
which german restaurants are available for 9 at 1:30 pm time on 14 nov 2019,/s/->/s/#find table{'date'= '14 nov'|1|'14 nov 2019'; 'time'= '1:30 pm'|1|'1:30 pm time'; 'people'= '9 people'|1|'9'; 'location restaurant or cuisine'= 'german'|0|'german')}
jj mahoney s irish pub restaurants for 14 people,/s/->/s/#find table{'people'= '14 people'|1|'14 people'; 'location restaurant or cuisine'= 'jj mahoney s irish pub'|0|'jj mahoney s irish pub')}
authentic salad restaurants open on december 30 2019,/->/s/#let s go{'location restaurant or cuisine'= 'salad'|0|'salad'; 'date'= '30 dec'|1|'december 30  2019')}
can you reserve on december 17 2019 for just for 10,restaurant->restaurant#find table{'date'= '17 dec'|1|'december 17  2019'; 'party size'= '10'|1|'just for 10')}
which blu sardinia restaurants are available for a group of 5 friends,/s/->/s/#find table{'people'= '5 people'|1|'a group of 5 friends'; 'location restaurant or cuisine'= 'blu sardinia'|0|'blu sardinia')}
available restaurants for size of 14 on 23 oct 2019 at 6:00 pm time,/s/->/s/#find table{'date'= '23 oct'|1|'23 oct 2019'; 'time'= '6:00 pm'|1|'6:00 pm time'; 'people'= '14 people'|1|'size of 14')}
finalize the reservation for 7 pm time,restaurant->/book/details#time{'time'= '7:00 pm'|1|'7 pm time')}
available volterra kirkland restaurants on 3 dec 2019 at 4 afternoon time,/->/s/#let s go{'location restaurant or cuisine'= 'volterra kirkland'|0|'volterra kirkland'; 'date'= '3 dec'|1|'3 dec 2019'; 'time'= '4:00 pm'|1|'4 afternoon time')}
what's available for a large group of 20 at 3:30 am time on august 7 2019,/->/s/#let s go{'date'= '7 aug'|1|'august 7  2019'; 'time'= '3:30 am'|1|'3:30 am time'; 'people'= '20 people'|1|'a large group of 20')}
how booked it is on july 9 2019,restaurant->restaurant#find table{'date'= '9 jul'|1|'july 9  2019')}
some greek restaurants for november 25 2019,/s/->/s/#find table{'date'= '25 nov'|1|'november 25  2019'; 'location restaurant or cuisine'= 'greek'|0|'greek')}
find me milan restaurants at 6:00 pm time,/s/->/s/#find table{'time'= '6:00 pm'|1|'6:00 pm time'; 'location restaurant or cuisine'= 'milan'|0|'milan')}
find me ramen restaurants for 3 persons on august 1 2019 at 11:00 in the morning,/s/->/s/#find table{'date'= '1 aug'|1|'august 1  2019'; 'time'= '11:00 am'|1|'11:00 in the morning'; 'people'= '3 people'|1|'3 persons'; 'location restaurant or cuisine'= 'ramen'|0|'ramen')}
can you show me the menu photos and reviews of peony kitchen,/s/->restaurant#restaurant{'restaurant'= 'peony kitchen'|1|'peony kitchen')}
restaurant for a party of 9 people,/->/s/#let s go{'people'= '9 people'|1|'a party of 9 people')}||/s/->/s/#find table{'people'= '9 people'|1|'a party of 9 people')}
I want russell s restaurant,/s/->restaurant#restaurant{'restaurant'= 'russell s restaurant'|1|'russell s restaurant')}
book me a volterra kirkland restaurant for a party of 5 people on september 13 2019 at 3:30 morning time,/->/s/#let s go{'location restaurant or cuisine'= 'volterra kirkland'|0|'volterra kirkland'; 'date'= '13 sep'|1|'september 13  2019'; 'time'= '3:30 am'|1|'3:30 morning time'; 'people'= '5 people'|1|'a party of 5 people')}
find me a restaurant for 1,/s/->/s/#find table{'people'= '1 people'|1|'1')}
details on kabab palace,/s/->restaurant#restaurant{'restaurant'= 'kabab palace'|1|'kabab palace')}
book it at 6:15 pm in the evening,restaurant->/book/details#time{'time'= '6:15 pm'|1|'6:15 pm in the evening')}
available anthony s homeport kirkland restaurants on december 12 2019 at 10 am time,/s/->/s/#find table{'date'= '12 dec'|1|'december 12  2019'; 'time'= '10:00 am'|1|'10 am time'; 'location restaurant or cuisine'= 'anthony s homeport kirkland'|0|'anthony s homeport kirkland')}
choose earls kitchen bar bellevue at 3:00 afternoon time,/s/->/book/details#time{'time'= '3:00 pm'|1|'3:00 afternoon time'; 'restaurant'= 'earls kitchen bar bellevue'|1|'earls kitchen bar bellevue')}
restaurant for 13 persons,/->/s/#let s go{'people'= '13 people'|1|'13 persons')}||/s/->/s/#find table{'people'= '13 people'|1|'13 persons')}
show me the what they serve for this one,restaurant->restaurant#restaurant details{'restaurant details'= 'menu'|1|'what they serve')}
find me a restaurant for me and 2 others on october 8 2019 at 4:30 am in the morning,/->/s/#let s go{'date'= '8 oct'|1|'october 8  2019'; 'time'= '4:30 am'|1|'4:30 am in the morning'; 'people'= '3 people'|1|'me and 2 others')}
book me a cambridge restaurant for a group of 10 friends on november 11 2019 at 12:00 pm time,/->/s/#let s go{'location restaurant or cuisine'= 'cambridge'|0|'cambridge'; 'date'= '11 nov'|1|'november 11  2019'; 'time'= '12:00 pm'|1|'12:00 pm time'; 'people'= '10 people'|1|'a group of 10 friends')}
go to woodblock,/s/->restaurant#restaurant{'restaurant'= 'woodblock'|1|'woodblock')}
rome restaurants for just 1,/s/->/s/#find table{'people'= '1 people'|1|'just 1'; 'location restaurant or cuisine'= 'rome'|0|'rome')}
find me a restaurant for 2:00 in the afternoon,/s/->/s/#find table{'time'= '2:00 pm'|1|'2:00 in the afternoon')}
available bellevue restaurants for 18 persons,/->/s/#let s go{'location restaurant or cuisine'= 'bellevue'|0|'bellevue'; 'people'= '18 people'|1|'18 persons')}
some cafe juanita restaurants for 13 aug 2019,/s/->/s/#find table{'date'= '13 aug'|1|'13 aug 2019'; 'location restaurant or cuisine'= 'cafe juanita'|0|'cafe juanita')}
find me tacoma restaurants for about 16 people on august 30 2019 at 12:30 pm time,/->/s/#let s go{'location restaurant or cuisine'= 'tacoma'|0|'tacoma'; 'date'= '30 aug'|1|'august 30  2019'; 'time'= '12:30 pm'|1|'12:30 pm time'; 'people'= '16 people'|1|'about 16 people')}
available pizzeria restaurants for 4 persons,/->/s/#let s go{'location restaurant or cuisine'= 'pizzeria'|0|'pizzeria'; 'people'= '4 people'|1|'4 persons')}
available anthony s homeport kirkland restaurants for 20 on august 5 2019 at 11 o'clock,/->/s/#let s go{'location restaurant or cuisine'= 'anthony s homeport kirkland'|0|'anthony s homeport kirkland'; 'date'= '5 aug'|1|'august 5  2019'; 'time'= '11:00 pm'|1|"11 o'clock"; 'people'= '20 people'|1|'20')}
can you show me the menu photos and reviews of barking frog,/s/->restaurant#restaurant{'restaurant'= 'barking frog'|1|'barking frog')}
which italian restaurants are available at 9:30 in the night on 16 oct 2019,/->/s/#let s go{'location restaurant or cuisine'= 'italian'|0|'italian'; 'date'= '16 oct'|1|'16 oct 2019'; 'time'= '9:30 pm'|1|'9:30 in the night')}
can you get me the what i can have there of this place,restaurant->restaurant#restaurant details{'restaurant details'= 'menu'|1|'what i can have there')}
what's the avaiability on july 19 2019,restaurant->restaurant#find table{'date'= '19 jul'|1|'july 19  2019')}
find me palomino restaurants on november 19 2019 at 12:30,/->/s/#let s go{'location restaurant or cuisine'= 'palomino'|0|'palomino'; 'date'= '19 nov'|1|'november 19  2019'; 'time'= '12:30 am'|1|'12:30')}
available tutta bella restaurants for 13 persons on 13 aug 2019,/->/s/#let s go{'location restaurant or cuisine'= 'tutta bella'|0|'tutta bella'; 'date'= '13 aug'|1|'13 aug 2019'; 'people'= '13 people'|1|'13 persons')}
which vegeterian restaurants are available at 18:30 on october 29 2019,/->/s/#let s go{'location restaurant or cuisine'= 'vegeterian'|0|'vegeterian'; 'date'= '29 oct'|1|'october 29  2019'; 'time'= '6:30 pm'|1|'18:30')}
more info on the bistro at hollywood schoolhouse,/s/->restaurant#restaurant{'restaurant'= 'the bistro at hollywood schoolhouse'|1|'the bistro at hollywood schoolhouse')}
what's available at 6:00 am in the morning,/s/->/s/#find table{'time'= '6:00 am'|1|'6:00 am in the morning')}
find me japanese restaurants for a party of 10 people,/s/->/s/#find table{'people'= '10 people'|1|'a party of 10 people'; 'location restaurant or cuisine'= 'japanese'|0|'japanese')}
choose gyu kaku bellevue at 17:30,/s/->/book/details#time{'time'= '5:45 pm'|1|'17:30'; 'restaurant'= 'gyu kaku bellevue'|1|'gyu kaku bellevue')}
tell me more about  fig olive chicago restaurant,City->restaurant#select restaurant{'select restaurant'= 'fig olive chicago'|1|'fig olive chicago restaurant')}
find me a restaurant for 9:30 am time,/->/s/#let s go{'time'= '9:30 am'|1|'9:30 am time')}||/s/->/s/#find table{'time'= '9:30 am'|1|'9:30 am time')}
find me vegetarian restaurants at 8:30 am in the morning,/s/->/s/#find table{'time'= '8:30 am'|1|'8:30 am in the morning'; 'location restaurant or cuisine'= 'vegetarian'|0|'vegetarian')}
reserve solarium kitchen & bar at 6:15 evening time,/s/->/book/details#time{'time'= '6:15 pm'|1|'6:15 evening time'; 'restaurant'= 'solarium kitchen & bar'|1|'solarium kitchen & bar')}
available kirkland restaurants for the 11 of us on 28 aug 2019 at 11 night time,/s/->/s/#find table{'date'= '28 aug'|1|'28 aug 2019'; 'time'= '11:00 pm'|1|'11 night time'; 'people'= '11 people'|1|'the 11 of us'; 'location restaurant or cuisine'= 'kirkland'|0|'kirkland')}
available venice restaurants at 12:30 in the night,/s/->/s/#find table{'time'= '12:30 pm'|1|'12:30 in the night'; 'location restaurant or cuisine'= 'venice'|0|'venice')}
some jj mahoney s irish pub places where I can go,/->/s/#let s go{'location restaurant or cuisine'= 'jj mahoney s irish pub'|0|'jj mahoney s irish pub')}||/s/->/s/#find table{'location restaurant or cuisine'= 'jj mahoney s irish pub'|0|'jj mahoney s irish pub')}
is it available on 5 aug 2019 at 5:00 evening time,restaurant->restaurant#find table{'time'= '5:00 pm'|1|'5:00 evening time'; 'date'= '5 aug'|1|'5 aug 2019')}
authentic british restaurants open on august 9 2019,/s/->/s/#find table{'date'= '9 aug'|1|'august 9  2019'; 'location restaurant or cuisine'= 'british'|0|'british')}
find me gluten free restaurants on july 29 2019 at 3:30 pm in the afternoon,/->/s/#let s go{'location restaurant or cuisine'= 'gluten free'|0|'gluten free'; 'date'= '29 jul'|1|'july 29  2019'; 'time'= '3:30 pm'|1|'3:30 pm in the afternoon')}
is it available on 30 oct 2019 at 11 am time,restaurant->restaurant#find table{'time'= '11:00 am'|1|'11 am time'; 'date'= '30 oct'|1|'30 oct 2019')}
available palomino restaurants for 6 on september 13 2019 at 3:30 pm in the afternoon,/->/s/#let s go{'location restaurant or cuisine'= 'palomino'|0|'palomino'; 'date'= '13 sep'|1|'september 13  2019'; 'time'= '3:30 pm'|1|'3:30 pm in the afternoon'; 'people'= '6 people'|1|'6')}
find me home made pasta restaurants on july 31 2019,/s/->/s/#find table{'date'= '31 jul'|1|'july 31  2019'; 'location restaurant or cuisine'= 'home made pasta'|0|'home made pasta')}
some home made pasta restaurants for 1 nov 2019,/s/->/s/#find table{'date'= '1 nov'|1|'1 nov 2019'; 'location restaurant or cuisine'= 'home made pasta'|0|'home made pasta')}
available agave cocina cantina redmond restaurants at 11:30 in the night,/->/s/#let s go{'location restaurant or cuisine'= 'agave cocina cantina redmond'|0|'agave cocina cantina redmond'; 'time'= '11:30 pm'|1|'11:30 in the night')}
vegan restaurants for about 11 people,/s/->/s/#find table{'people'= '11 people'|1|'about 11 people'; 'location restaurant or cuisine'= 'vegan'|0|'vegan')}
kabab restaurants,/->/s/#let s go{'location restaurant or cuisine'= 'kabab'|0|'kabab')}||/s/->/s/#find table{'location restaurant or cuisine'= 'kabab'|0|'kabab')}
which asian restaurants are available for a party of 4 people at 7:00 in the morning on 1 aug 2019,/->/s/#let s go{'location restaurant or cuisine'= 'asian'|0|'asian'; 'date'= '1 aug'|1|'1 aug 2019'; 'time'= '7:00 am'|1|'7:00 in the morning'; 'people'= '4 people'|1|'a party of 4 people')}
what's available for 12 on october 1 2019,/->/s/#let s go{'date'= '1 oct'|1|'october 1  2019'; 'people'= '12 people'|1|'12')}
find me a restaurant for a group of 7 friends,/->/s/#let s go{'people'= '7 people'|1|'a group of 7 friends')}||/s/->/s/#find table{'people'= '7 people'|1|'a group of 7 friends')}
find me a restaurant for a group of 12 friends on july 17 2019 at 19:30,/s/->/s/#find table{'date'= '17 jul'|1|'july 17  2019'; 'time'= '7:30 pm'|1|'19:30'; 'people'= '12 people'|1|'a group of 12 friends')}
can you reserve on 11 oct 2019 for about 14 people,restaurant->restaurant#find table{'date'= '11 oct'|1|'11 oct 2019'; 'party size'= '14'|1|'about 14 people')}
restaurants in the expensive price range,/s/->/s/#price{'price'= '$$$$'|1|'expensive')}
book me a british restaurant for a party of 3 people on 3 sep 2019 at 21:30,/s/->/s/#find table{'date'= '3 sep'|1|'3 sep 2019'; 'time'= '9:30 pm'|1|'21:30'; 'people'= '3 people'|1|'a party of 3 people'; 'location restaurant or cuisine'= 'british'|0|'british')}
how are the drinks menu of this place,restaurant->restaurant#menu type{'menu type'= 'wine list'|1|'drinks menu')}
available vegetarian restaurants for just for 12 on december 20 2019 at 11:30 am time,/s/->/s/#find table{'date'= '20 dec'|1|'december 20  2019'; 'time'= '11:30 am'|1|'11:30 am time'; 'people'= '12 people'|1|'just for 12'; 'location restaurant or cuisine'= 'vegetarian'|0|'vegetarian')}
which are cajun/creole,/s/->/s/#cuisine{'cuisine'= 'indian'|1|'cajun/creole')}
how are the reviews of people who visited it of this place,restaurant->restaurant#restaurant details{'restaurant details'= 'reviews'|1|'reviews of people who visited it')}
available fuji steak house restaurants for just me on 2 oct 2019,/->/s/#let s go{'location restaurant or cuisine'= 'fuji steak house'|0|'fuji steak house'; 'date'= '2 oct'|1|'2 oct 2019'; 'people'= '1 people'|1|'just me')}
find me ristorante paradiso restaurants at 9:00 am in the morning,/s/->/s/#find table{'time'= '9:00 am'|1|'9:00 am in the morning'; 'location restaurant or cuisine'= 'ristorante paradiso'|0|'ristorante paradiso')}
what about a table here at 7 evening time for 9 people,restaurant->restaurant#find table{'time'= '7:00 pm'|1|'7 evening time'; 'party size'= '9'|1|'9 people')}
some more information on montalcino ristorante italiano,/s/->restaurant#restaurant{'restaurant'= 'montalcino ristorante italiano'|1|'montalcino ristorante italiano')}
restaurant for a group of 2 friends,/s/->/s/#find table{'people'= '2 people'|1|'a group of 2 friends')}
which volterra kirkland restaurants are available at 11:00 pm time on 11 nov 2019,/s/->/s/#find table{'date'= '11 nov'|1|'11 nov 2019'; 'time'= '11:00 pm'|1|'11:00 pm time'; 'location restaurant or cuisine'= 'volterra kirkland'|0|'volterra kirkland')}
find me a table here for 19:15,restaurant->/book/details#time{'time'= '7:15 pm'|1|'19:15')}
