keep only ahnu,/search->/search#filter by brand{'filter by brand'= 'ahnu'|1|'ahnu')}
add 5 to my cart,/product/->Added to cart confirmation#add to cart{'change quantity'= '5'|1|'5')}
under hiking search rain jackets,/->/search#select sub category{'select category'= 'camp & hike'|1|'hiking'; 'select sub category'= 'rain jackets'|1|'rain jackets')}
Submit order with credit card number 1.12346e16 security code 123 expiration year 2029 and expiration month 03,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '1.12346e+16'|0|'1.12346e+16'; 'security code'= '123'|0|'123'; 'expiration month'= '3-mar'|1|'03'; 'expiration year'= '2029'|1|'2029')}
filter the results by cotopaxi,/search->/search#filter by brand{'filter by brand'= 'cotopaxi'|1|'cotopaxi')}
display acrylic blend products,/search->/search#filter by fabric type{'filter by fabric type'= 'acrylic / acrylic blend'|1|'acrylic blend')}
show me only the yellow ones,/search->/search#filter by color{'filter by color'= 'yellow'|1|'yellow')}
in the travel category select wind shells,/->/search#select sub category{'select category'= 'travel'|1|'travel'; 'select sub category'= 'wind shells'|1|'wind shells')}
I want to get the red in size big,/product/->Added to cart confirmation#add to cart{'select color'= 'red'|1|'red'; 'select size'= 'l'|1|'big')}
keep results that are good for medium,/search->/search#filter by best use{'filter by best use'= 'medium'|1|'medium')}
to pay you can use my card with the following details: number is 1.12345e15 and security code is 123 and it expires on october of 2023,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '1.12345e+15'|0|'1.12345e+15'; 'security code'= '123'|0|'123'; 'expiration month'= '10-oct'|1|'october'; 'expiration year'= '2023'|1|'2023')}
search pants,/->/search#search{'search for great gear clothing'= 'pants'|0|'pants')}
I'm interested only in fjallraven,/search->/search#filter by brand{'filter by brand'= 'fjallraven'|1|'fjallraven')}
eight size results only,/search->/search#filter by size{'filter by size'= '8'|1|'eight')}
go to gifts and choose running jackets,/->/search#select sub category{'select category'= 'gifts'|1|'gifts'; 'select sub category'= 'running jackets'|1|'running jackets')}
filter the results by merrell,/search->/search#filter by brand{'filter by brand'= 'merrell'|1|'merrell')}
do they have any swimwear,/->/search#search{'search for great gear clothing'= 'swimwear'|0|'swimwear')}
Submit order with credit card number 1.12346e16 security code 123 expiration year 2021 and expiration month september,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '1.12346e+16'|0|'1.12346e+16'; 'security code'= '123'|0|'123'; 'expiration month'= '9-sep'|1|'september'; 'expiration year'= '2021'|1|'2021')}
the only brand I want is outdoor research,/search->/search#filter by brand{'filter by brand'= 'outdoor research'|1|'outdoor research')}
the only brand I want is jetty,/search->/search#filter by brand{'filter by brand'= 'jetty'|1|'jetty')}
I'm interested in running and down & insulated,/->/search#select sub category{'select category'= 'run'|1|'running'; 'select sub category'= 'down & insulated'|1|'down & insulated')}
keep results that are good for acrylic blend,/search->/search#filter by fabric type{'filter by fabric type'= 'acrylic / acrylic blend'|1|'acrylic blend')}
fill in the checkout details as follows: city is boston street address is 1033 s oakley blvd. and my full name is david miller,/checkout/billing-address->/checkout/contact-info#continue{'city'= 'boston'|0|'boston'; 'street address'= '1033 s oakley blvd.'|0|'1033 s oakley blvd.'; 'last name'= 'miller'|0|'miller'; 'first name'= 'david'|0|'david')}
fill in the checkout details as follows: city is new delhi street address is 4260 132nd ave ne and my full name is richard brown,/checkout/billing-address->/checkout/contact-info#continue{'city'= 'new delhi'|0|'new delhi'; 'street address'= '4260 132nd ave ne'|0|'4260 132nd ave ne'; 'last name'= 'brown'|0|'brown'; 'first name'= 'richard'|0|'richard')}
in the climb department open running jackets,/->/search#select sub category{'select category'= 'climb'|1|'climb'; 'select sub category'= 'running jackets'|1|'running jackets')}
Submit order with credit card number 4.56746e15 security code 123 expiration year 2023 and expiration month apr,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '4.56746e+15'|0|'4.56746e+15'; 'security code'= '123'|0|'123'; 'expiration month'= '4-apr'|1|'apr'; 'expiration year'= '2023'|1|'2023')}
my details are  70745 as zip code washington as state australia as country la as city 3245 w roosevelt road as address brown as surname and john as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '70745'|0|'70745'; 'state'= 'washington'|1|'washington'; 'country'= 'australia'|1|'australia'; 'city'= 'los angeles'|0|'la'; 'street address'= '3245 w roosevelt road'|0|'3245 w roosevelt road'; 'last name'= 'brown'|0|'brown'; 'first name'= 'john'|0|'john')}
only larger than 9 options,/search->/search#filter by size{'filter by size'= '10'|1|'larger than 9')}
show me the up to 30% off deals,/->/search#select offer{'select offer'= 'up to 30% off'|1|'up to 30% off')}
to pay you can use my card with the following details: number is 1.12346e15 and security code is 123 and it expires on february of 2033,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '1.12346e+15'|0|'1.12346e+15'; 'security code'= '123'|0|'123'; 'expiration month'= '2-feb'|1|'february'; 'expiration year'= '2033'|1|'2033')}
show me only those that are new items,/search->/search#filter by features{'filter by features'= 'new arrivals'|1|'new items')}
what's available in snow shoes,/->/search#search{'search for great gear clothing'= 'snow shoes'|0|'snow shoes')}
go to women and choose wind shells,/->/search#select sub category{'select category'= 'women'|1|'women'; 'select sub category'= 'wind shells'|1|'wind shells')}
show me only those that are co op exclusive,/search->/search#filter by features{'filter by features'= 'co op exclusive'|1|'co op exclusive')}
order by newest,/search->/search#sort results{'sort results'= 'newest'|1|'newest')}
fill in the checkout details as follows: city is new york street address is 2134 e ontario st. and my full name is robert johnson,/checkout/billing-address->/checkout/contact-info#continue{'city'= 'new york'|0|'new york'; 'street address'= '2134 e ontario st.'|0|'2134 e ontario st.'; 'last name'= 'johnson'|0|'johnson'; 'first name'= 'robert'|0|'robert')}
show me only 10.5 results,/search->/search#filter by size{'filter by size'= '10.5'|1|'10.5')}
my full address is 2331 n ashland ave boston oregon 37566 india and my name is john williams,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '37566'|0|'37566'; 'state'= 'oregon'|1|'oregon'; 'country'= 'india'|1|'india'; 'city'= 'boston'|0|'boston'; 'street address'= '2331 n ashland ave'|0|'2331 n ashland ave'; 'last name'= 'williams'|0|'williams'; 'first name'= 'john'|0|'john')}
restrict the results to good for winter,/search->/search#filter by best use{'filter by best use'= 'insulated'|1|'good for winter')}
the only brand I want is prana,/search->/search#filter by brand{'filter by brand'= 'prana'|1|'prana')}
to pay you can use my card with the following details: number is 4.56746e15 and security code is 123 and it expires on july of 2023,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '4.56746e+15'|0|'4.56746e+15'; 'security code'= '123'|0|'123'; 'expiration month'= '7-jul'|1|'july'; 'expiration year'= '2023'|1|'2023')}
order the option in black and size medium just 3 pieces with the option store pick up,/product/->Added to cart confirmation#add to cart{'select color'= 'black'|1|'black'; 'pick up mode'= 'pick up in store free'|1|'store pick up'; 'select size'= 'm'|1|'medium'; 'change quantity'= '3'|1|'3')}
enter 70745 as zip code indiana as state india as country sf as city 3123 s taylor st. as street address smith as last name and john as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '70745'|0|'70745'; 'state'= 'indiana'|1|'indiana'; 'country'= 'india'|1|'india'; 'city'= 'san fransisco'|0|'sf'; 'street address'= '3123 s taylor st.'|0|'3123 s taylor st.'; 'last name'= 'smith'|0|'smith'; 'first name'= 'john'|0|'john')}
filter the results by keen,/search->/search#filter by brand{'filter by brand'= 'keen'|1|'keen')}
add it in color brown and size 2xl,/product/->Added to cart confirmation#add to cart{'select color'= 'brown'|1|'brown'; 'select size'= 'xxl'|1|'2xl')}
I'm looking for something vasque,/search->/search#filter by brand{'filter by brand'= 'vasque'|1|'vasque')}
exclude what is not an larger than 9,/search->/search#filter by size{'filter by size'= '10'|1|'larger than 9')}
my full address is 2331 n ashland ave bellevue oregon 60612 sweden and my name is michael ponting,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '60612'|0|'60612'; 'state'= 'oregon'|1|'oregon'; 'country'= 'sweden'|1|'sweden'; 'city'= 'bellevue'|0|'bellevue'; 'street address'= '2331 n ashland ave'|0|'2331 n ashland ave'; 'last name'= 'ponting'|0|'ponting'; 'first name'= 'michael'|0|'michael')}
select the color black and size m and then add it to my cart,/product/->Added to cart confirmation#add to cart{'select color'= 'black'|1|'black'; 'select size'= 'm'|1|'m')}
enter 98005 as zip code alabama as state india as country new delhi as city 2331 n ashland ave as street address smith as last name and david as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '98005'|0|'98005'; 'state'= 'alabama'|1|'alabama'; 'country'= 'india'|1|'india'; 'city'= 'new delhi'|0|'new delhi'; 'street address'= '2331 n ashland ave'|0|'2331 n ashland ave'; 'last name'= 'smith'|0|'smith'; 'first name'= 'david'|0|'david')}
Add to my cart an yellow xxl and added it to my cart as deliver to address,/product/->Added to cart confirmation#add to cart{'select color'= 'yellow'|1|'yellow'; 'pick up mode'= 'ship to address'|1|'deliver to address'; 'select size'= 'xxl'|1|'xxl')}
in shop rei outlet click on casual jackets,/->/search#select sub category{'select category'= 'shop rei outlet'|1|'shop rei outlet'; 'select sub category'= 'casual jackets'|1|'casual jackets')}
Add to my cart an blue l and added it to my cart as deliver to address,/product/->Added to cart confirmation#add to cart{'select color'= 'blue'|1|'blue'; 'pick up mode'= 'ship to address'|1|'deliver to address'; 'select size'= 'l'|1|'l')}
add 7 in color green and size moderate to my cart,/product/->Added to cart confirmation#add to cart{'select color'= 'green'|1|'green'; 'select size'= 'm'|1|'moderate'; 'change quantity'= '7'|1|'7')}
is there any option with khaki color,/search->/search#filter by color{'filter by color'= 'khaki'|1|'khaki')}
please record for future obermeyer haana insulated jacket girls',/ShoppingCart->/ShoppingCart#edit shopping cart items{'select product'= "obermeyer haana insulated jacket girls'"|1|"obermeyer haana insulated jacket girls'"; 'edit shopping cart items'= 'save for later'|1|'record for future')}
in camp & hike click on wind shells,/->/search#select sub category{'select category'= 'camp & hike'|1|'camp & hike'; 'select sub category'= 'wind shells'|1|'wind shells')}
browse ski & snowboard in the children category,/->/search#select sub category{'select category'= 'kids'|1|'children'; 'select sub category'= 'ski & snowboard'|1|'ski & snowboard')}
the number of items is wrong change it to 4,/ShoppingCart->/ShoppingCart#change quantity{'change quantity'= '4'|1|'4')}
keep only the shoes category,/search->/search#filter by category{'filter by category'= 'footwear'|1|'shoes')}
exclude what is not an 9,/search->/search#filter by size{'filter by size'= '9'|1|'9')}
add nine to my cart,/product/->Added to cart confirmation#add to cart{'change quantity'= '9'|1|'nine')}
Add to my cart an green medium and added it to my cart as deliver to address,/product/->Added to cart confirmation#add to cart{'select color'= 'green'|1|'green'; 'pick up mode'= 'ship to address'|1|'deliver to address'; 'select size'= 'm'|1|'medium')}
Submit order with credit card number 1.12346e16 security code 123 expiration year 2031 and expiration month dec,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '1.12346e+16'|0|'1.12346e+16'; 'security code'= '123'|0|'123'; 'expiration month'= '12-dec'|1|'dec'; 'expiration year'= '2031'|1|'2031')}
browse down & insulated in the women category,/->/search#select sub category{'select category'= 'women'|1|'women'; 'select sub category'= 'down & insulated'|1|'down & insulated')}
my details are  37566 as zip code idaho as state finland as country san fransisco as city 2134 e ontario st. as address brown as surname and michael as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '37566'|0|'37566'; 'state'= 'idaho'|1|'idaho'; 'country'= 'finland'|1|'finland'; 'city'= 'san fransisco'|0|'san fransisco'; 'street address'= '2134 e ontario st.'|0|'2134 e ontario st.'; 'last name'= 'brown'|0|'brown'; 'first name'= 'michael'|0|'michael')}
I need a us made option,/search->/search#filter by features{'filter by features'= 'made in usa'|1|'us made')}
I want the black size xl,/product/->Added to cart confirmation#add to cart{'select color'= 'black'|1|'black'; 'select size'= 'xl'|1|'xl')}
order the option in green and size small just 5 pieces with the option deliver to address,/product/->Added to cart confirmation#add to cart{'select color'= 'green'|1|'green'; 'pick up mode'= 'ship to address'|1|'deliver to address'; 'select size'= 's'|1|'small'; 'change quantity'= '5'|1|'5')}
please record for future columbia silver ridge lite shirt women's,/ShoppingCart->/ShoppingCart#edit shopping cart items{'select product'= "columbia silver ridge lite shirt women's"|1|"columbia silver ridge lite shirt women's"; 'edit shopping cart items'= 'save for later'|1|'record for future')}
my details are  37566 as zip code colorado as state france as country los angeles as city 3245 w roosevelt road as address smith as surname and michael as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '37566'|0|'37566'; 'state'= 'colorado'|1|'colorado'; 'country'= 'france'|1|'france'; 'city'= 'los angeles'|0|'los angeles'; 'street address'= '3245 w roosevelt road'|0|'3245 w roosevelt road'; 'last name'= 'smith'|0|'smith'; 'first name'= 'michael'|0|'michael')}
under cycle search fleece & soft shell,/->/search#select sub category{'select category'= 'cycle'|1|'cycle'; 'select sub category'= 'fleece & soft shell'|1|'fleece & soft shell')}
find t shirts,/->/search#search{'search for great gear clothing'= 't-shirts'|0|'t-shirts')}
fill in the checkout details as follows: city is sf street address is 4260 132nd ave ne and my full name is richard brown,/checkout/billing-address->/checkout/contact-info#continue{'city'= 'san fransisco'|0|'sf'; 'street address'= '4260 132nd ave ne'|0|'4260 132nd ave ne'; 'last name'= 'brown'|0|'brown'; 'first name'= 'richard'|0|'richard')}
select store pick up and size largest and add it the cart,/product/->Added to cart confirmation#add to cart{'pick up mode'= 'pick up in store free'|1|'store pick up'; 'select size'= 'xxl'|1|'largest')}
I'm interested in rei co op mountainmaker pants boys',/search->/product/#select product{'select product'= "rei co op mountainmaker pants boys'"|1|"rei co op mountainmaker pants boys'")}
order the option in white and size largest,/product/->Added to cart confirmation#add to cart{'select color'= 'white'|1|'white'; 'select size'= 'xxl'|1|'largest')}
my details are  98005 as zip code delaware as state france as country london as city 3123 s taylor st. as address brown as surname and john as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '98005'|0|'98005'; 'state'= 'delaware'|1|'delaware'; 'country'= 'france'|1|'france'; 'city'= 'london'|0|'london'; 'street address'= '3123 s taylor st.'|0|'3123 s taylor st.'; 'last name'= 'brown'|0|'brown'; 'first name'= 'john'|0|'john')}
add seven in color white and size moderate to my cart,/product/->Added to cart confirmation#add to cart{'select color'= 'white'|1|'white'; 'select size'= 'm'|1|'moderate'; 'change quantity'= '7'|1|'seven')}
go to hiking and pick casual jackets,/->/search#select sub category{'select category'= 'camp & hike'|1|'hiking'; 'select sub category'= 'casual jackets'|1|'casual jackets')}
Show me all topo designs options,/search->/search#filter by brand{'filter by brand'= 'topo designs'|1|'topo designs')}
brand name from a to z re rank,/search->/search#sort results{'sort results'= 'brand: a z'|1|'brand name from a to z')}
casual jackets for climb,/->/search#select sub category{'select category'= 'climb'|1|'climb'; 'select sub category'= 'casual jackets'|1|'casual jackets')}
I want regular,/search->/search#filter by best use{'filter by best use'= 'regular'|1|'regular')}
I want to get the red in size extra large,/product/->Added to cart confirmation#add to cart{'select color'= 'red'|1|'red'; 'select size'= 'xl'|1|'extra large')}
in ladis click on fleece & soft shell,/->/search#select sub category{'select category'= 'women'|1|'ladis'; 'select sub category'= 'fleece & soft shell'|1|'fleece & soft shell')}
I'd like something with dakine brand,/search->/search#filter by brand{'filter by brand'= 'dakine'|1|'dakine')}
Submit order with credit card number 1.12345e15 security code 123 expiration year 2031 and expiration month august,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '1.12345e+15'|0|'1.12345e+15'; 'security code'= '123'|0|'123'; 'expiration month'= '8-aug'|1|'august'; 'expiration year'= '2031'|1|'2031')}
my details are  70745 as zip code south dakota as state poland as country new york as city 2134 e ontario st. as address miller as surname and robert as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '70745'|0|'70745'; 'state'= 'south dakota'|1|'south dakota'; 'country'= 'poland'|1|'poland'; 'city'= 'new york'|0|'new york'; 'street address'= '2134 e ontario st.'|0|'2134 e ontario st.'; 'last name'= 'miller'|0|'miller'; 'first name'= 'robert'|0|'robert')}
add 7 in color pink and size xl to my cart,/product/->Added to cart confirmation#add to cart{'select color'= 'pink'|1|'pink'; 'select size'= 'xl'|1|'xl'; 'change quantity'= '7'|1|'7')}
enter 70745 as zip code wyoming as state france as country la as city 3245 w roosevelt road as street address johnson as last name and john as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '70745'|0|'70745'; 'state'= 'wyoming'|1|'wyoming'; 'country'= 'france'|1|'france'; 'city'= 'los angeles'|0|'la'; 'street address'= '3245 w roosevelt road'|0|'3245 w roosevelt road'; 'last name'= 'johnson'|0|'johnson'; 'first name'= 'john'|0|'john')}
enter 23678 as zip code mississippi as state france as country san fransisco as city 2134 e ontario st. as street address smith as last name and richard as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '23678'|0|'23678'; 'state'= 'mississippi'|1|'mississippi'; 'country'= 'france'|1|'france'; 'city'= 'san fransisco'|0|'san fransisco'; 'street address'= '2134 e ontario st.'|0|'2134 e ontario st.'; 'last name'= 'smith'|0|'smith'; 'first name'= 'richard'|0|'richard')}
fill in the checkout details as follows: city is boston street address is 1033 s oakley blvd. and my full name is michael smith,/checkout/billing-address->/checkout/contact-info#continue{'city'= 'boston'|0|'boston'; 'street address'= '1033 s oakley blvd.'|0|'1033 s oakley blvd.'; 'last name'= 'smith'|0|'smith'; 'first name'= 'michael'|0|'michael')}
I'm interested in women and casual jackets,/->/search#select sub category{'select category'= 'women'|1|'women'; 'select sub category'= 'casual jackets'|1|'casual jackets')}
show me what can be used for green,/search->/search#filter by best use{'filter by best use'= 'green'|1|'green')}
my details are  60612 as zip code washington as state italy as country bellevue as city 4260 132nd ave ne as address johnson as surname and richard as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '60612'|0|'60612'; 'state'= 'washington'|1|'washington'; 'country'= 'italy'|1|'italy'; 'city'= 'bellevue'|0|'bellevue'; 'street address'= '4260 132nd ave ne'|0|'4260 132nd ave ne'; 'last name'= 'johnson'|0|'johnson'; 'first name'= 'richard'|0|'richard')}
under ladis search ski & snowboard,/->/search#select sub category{'select category'= 'women'|1|'ladis'; 'select sub category'= 'ski & snowboard'|1|'ski & snowboard')}
the number of items for osprey fairview 40 travel pack women's is wrong change it to 3,/ShoppingCart->/ShoppingCart#change quantity{'select product'= "osprey fairview 40 travel pack women's"|1|"osprey fairview 40 travel pack women's"; 'change quantity'= '3'|1|'3')}
Show me all inov8 options,/search->/search#filter by brand{'filter by brand'= 'inov8'|1|'inov8')}
Submit order with credit card number 1.12345e15 security code 123 expiration year 2030 and expiration month nov,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '1.12345e+15'|0|'1.12345e+15'; 'security code'= '123'|0|'123'; 'expiration month'= '11-nov'|1|'nov'; 'expiration year'= '2030'|1|'2030')}
to pay you can use my card with the following details: number is 1.12346e15 and security code is 123 and it expires on april of 2028,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '1.12346e+15'|0|'1.12346e+15'; 'security code'= '123'|0|'123'; 'expiration month'= '4-apr'|1|'april'; 'expiration year'= '2028'|1|'2028')}
filter by tasc performance results,/search->/search#filter by brand{'filter by brand'= 'tasc performance'|1|'tasc performance')}
to pay you can use my card with the following details: number is 4.56746e15 and security code is 123 and it expires on 05 of 2024,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '4.56746e+15'|0|'4.56746e+15'; 'security code'= '123'|0|'123'; 'expiration month'= '5-may'|1|'05'; 'expiration year'= '2024'|1|'2024')}
add 9 in color pink and size big to my cart,/product/->Added to cart confirmation#add to cart{'select color'= 'pink'|1|'pink'; 'select size'= 'l'|1|'big'; 'change quantity'= '9'|1|'9')}
order the option in orange and size extra large just four pieces with the option store pick up,/product/->Added to cart confirmation#add to cart{'select color'= 'orange'|1|'orange'; 'pick up mode'= 'pick up in store free'|1|'store pick up'; 'select size'= 'xl'|1|'extra large'; 'change quantity'= '4'|1|'four')}
add two in color black and size xl to my cart,/product/->Added to cart confirmation#add to cart{'select color'= 'black'|1|'black'; 'select size'= 'xl'|1|'xl'; 'change quantity'= '2'|1|'two')}
order the option in white and size large just 8 pieces with the option store pick up,/product/->Added to cart confirmation#add to cart{'select color'= 'white'|1|'white'; 'pick up mode'= 'pick up in store free'|1|'store pick up'; 'select size'= 'l'|1|'large'; 'change quantity'= '8'|1|'8')}
add nine in color white and size xxl to my cart,/product/->Added to cart confirmation#add to cart{'select color'= 'white'|1|'white'; 'select size'= 'xxl'|1|'xxl'; 'change quantity'= '9'|1|'nine')}
my full address is 3245 w roosevelt road los angeles pennsylvania 98005 india and my name is richard miller,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '98005'|0|'98005'; 'state'= 'pennsylvania'|1|'pennsylvania'; 'country'= 'india'|1|'india'; 'city'= 'los angeles'|0|'los angeles'; 'street address'= '3245 w roosevelt road'|0|'3245 w roosevelt road'; 'last name'= 'miller'|0|'miller'; 'first name'= 'richard'|0|'richard')}
go to paddle and then click wind shells,/->/search#select sub category{'select category'= 'paddle'|1|'paddle'; 'select sub category'= 'wind shells'|1|'wind shells')}
Show me all holden options,/search->/search#filter by brand{'filter by brand'= 'holden'|1|'holden')}
order the option in pink and size l,/product/->Added to cart confirmation#add to cart{'select color'= 'pink'|1|'pink'; 'select size'= 'l'|1|'l')}
I'm looking for something smartwool,/search->/search#filter by brand{'filter by brand'= 'smartwool'|1|'smartwool')}
order the option in orange and size xl just 4 pieces with the option deliver to address,/product/->Added to cart confirmation#add to cart{'select color'= 'orange'|1|'orange'; 'pick up mode'= 'ship to address'|1|'deliver to address'; 'select size'= 'xl'|1|'xl'; 'change quantity'= '4'|1|'4')}
in the cycle category select fleece & soft shell,/->/search#select sub category{'select category'= 'cycle'|1|'cycle'; 'select sub category'= 'fleece & soft shell'|1|'fleece & soft shell')}
Submit order with credit card number 4.56746e15 security code 123 expiration year 2033 and expiration month oct,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '4.56746e+15'|0|'4.56746e+15'; 'security code'= '123'|0|'123'; 'expiration month'= '10-oct'|1|'oct'; 'expiration year'= '2033'|1|'2033')}
under men search wind shells,/->/search#select sub category{'select category'= 'men'|1|'men'; 'select sub category'= 'wind shells'|1|'wind shells')}
rank results by newest,/search->/search#sort results{'sort results'= 'newest'|1|'newest')}
add it in color red and size small,/product/->Added to cart confirmation#add to cart{'select color'= 'red'|1|'red'; 'select size'= 's'|1|'small')}
select the color blue and size big and then add it to my cart,/product/->Added to cart confirmation#add to cart{'select color'= 'blue'|1|'blue'; 'select size'= 'l'|1|'big')}
show me only the hip length ones,/search->/search#filter by best use{'filter by best use'= 'hip length'|1|'hip length')}
fill in the checkout details as follows: city is redmond street address is 4260 132nd ave ne and my full name is john williams,/checkout/billing-address->/checkout/contact-info#continue{'city'= 'redmond'|0|'redmond'; 'street address'= '4260 132nd ave ne'|0|'4260 132nd ave ne'; 'last name'= 'williams'|0|'williams'; 'first name'= 'john'|0|'john')}
change the quantify of the item the north face chilkat nylon boots to 3,/ShoppingCart->/ShoppingCart#change quantity{'select product'= 'the north face chilkat nylon boots'|1|'the north face chilkat nylon boots'; 'change quantity'= '3'|1|'3')}
I'm looking for something that can be used for protected in cold,/search->/search#filter by best use{'filter by best use'= 'insulated'|1|'protected in cold')}
Add to my cart an yellow moderate and added it to my cart as store pick up,/product/->Added to cart confirmation#add to cart{'select color'= 'yellow'|1|'yellow'; 'pick up mode'= 'pick up in store free'|1|'store pick up'; 'select size'= 'm'|1|'moderate')}
add it in color brown and size largest,/product/->Added to cart confirmation#add to cart{'select color'= 'brown'|1|'brown'; 'select size'= 'xxl'|1|'largest')}
