what's the avaiability on october 4 2019,Restaurant->Restaurant availability#find table{'date'= '4 oct'|1|'october 4  2019')}
avaiability for 7 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'7 pm time')}
do they have any table left on 8 jul 2019,Restaurant->Restaurant availability#find table{'date'= '8 jul'|1|'8 jul 2019')}
complete the reservation for 5:00 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5:00 pm in the evening')}
can you get me a table at this one at 6:45 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'6:45 evening time')}
I want to reserve for 3 afternoon time,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'3 afternoon time')}
can I book on july 19 2019 at 11:30 am time for a party of 1,Restaurant->Restaurant availability#find table{'time'= '11:30'|1|'11:30 am time'; 'date'= '19 jul'|1|'july 19  2019'; 'number of people'= 'for 1'|1|'a party of 1')}
is 6:45 evening time still available,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'6:45 evening time')}
confirm my table for 18:15,Restaurant availability->Reservation form#booking time{'booking time'= '18:15'|1|'18:15')}
can they accomodate just for 5 on november 15 2019,Restaurant->Restaurant availability#find table{'date'= '15 nov'|1|'november 15  2019'; 'number of people'= 'for 5'|1|'just for 5')}
I want to reserve for 8:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8:00 pm time')}
osteria romana restaurants,/->/search-listings/#search{'restaurant name or location'= 'osteria romana'|0|'osteria romana')}
what about a table here at 6:30 evening time for a party of 4 people,Restaurant->Restaurant availability#find table{'time'= '18:30'|1|'6:30 evening time'; 'number of people'= 'for 4'|1|'a party of 4 people')}
can I book on july 25 2019 at 5:00 in the morning for just for 6,Restaurant->Restaurant availability#find table{'time'= '5:00'|1|'5:00 in the morning'; 'date'= '25 jul'|1|'july 25  2019'; 'number of people'= 'for 6'|1|'just for 6')}
can you reserve on december 20 2019 for 6 persons,Restaurant->Restaurant availability#find table{'date'= '20 dec'|1|'december 20  2019'; 'number of people'= 'for 6'|1|'6 persons')}
how booked it is on 9 sep 2019,Restaurant->Restaurant availability#find table{'date'= '9 sep'|1|'9 sep 2019')}
is 7:30 in the evening still available,Restaurant availability->Reservation form#booking time{'booking time'= '19:30'|1|'7:30 in the evening')}
make the reservation now for 4:00 in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|'4:00 in the afternoon')}
Is the restaurant available at 6:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6:00 pm time')}
places where to eat in restaurants near me,/city-restaurants->/search-listings/#city area{'city area'= 'restaurants near me'|1|'restaurants near me')}
what's the avaiability on 10 dec 2019,Restaurant->Restaurant availability#find table{'date'= '10 dec'|1|'10 dec 2019')}
can you reserve on 12 sep 2019 for 12 guests,Restaurant->Restaurant availability#find table{'date'= '12 sep'|1|'12 sep 2019'; 'number of people'= 'for 12'|1|'12 guests')}
do they have any table left on 31 dec 2019,Restaurant->Restaurant availability#find table{'date'= '31 dec'|1|'31 dec 2019')}
I want a table here for 6:30 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:30'|1|'6:30 pm in the evening')}
anything free at 6:30 evening time,Restaurant->Restaurant availability#find table{'time'= '18:30'|1|'6:30 evening time')}
what about a table here at 10:00 for 10 persons,Restaurant->Restaurant availability#find table{'time'= '10:00'|1|'10:00'; 'number of people'= 'for 10'|1|'10 persons')}
what's the avaiability on july 25 2019,Restaurant->Restaurant availability#find table{'date'= '25 jul'|1|'july 25  2019')}
I want to reserve for 3:30 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '15:30'|1|'3:30 pm time')}
what about a table here at 12:30 am time for 11 persons,Restaurant->Restaurant availability#find table{'time'= '12:30'|1|'12:30 am time'; 'number of people'= 'for 11'|1|'11 persons')}
is it available on 6 aug 2019 at 11:00 pm time,Restaurant->Restaurant availability#find table{'time'= '23:00'|1|'11:00 pm time'; 'date'= '6 aug'|1|'6 aug 2019')}
go ahead with the reservation under my name james fanet,Reservation form->Reservation confirmation#continue reservation{'first name'= 'james'|0|'james'; 'last name'= 'fanet'|0|'fanet')}
I need a reservation at this place at 15:00,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'15:00')}
get a table here for 21:00,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'21:00')}
show only restaurants in the shard,/search-listings/->/search-listings/#location{'location'= 'the shard'|1|'the shard')}
avaiability for 6:30 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:30'|1|'6:30 pm in the evening')}
can they accomodate a party of 9 people on december 18 2019,Restaurant->Restaurant availability#find table{'date'= '18 dec'|1|'december 18  2019'; 'number of people'= 'for 9'|1|'a party of 9 people')}
I only want greek restaurants,/search-listings/->/search-listings/#cuisine{'cuisine'= 'greek'|1|'greek')}
do they have any table left on december 3 2019,Restaurant->Restaurant availability#find table{'date'= '3 dec'|1|'december 3  2019')}
can you get me a table at this one at 3:30 pm in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '15:30'|1|'3:30 pm in the afternoon')}
make the reservation now for 5:30 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '17:30'|1|'5:30 pm time')}
more information for the restaurant the real greek bankside,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'the real greek bankside'|1|'the real greek bankside')}||/->/city-restaurants#search{'search by name or location'= 'the real greek bankside'|0|'the real greek bankside')}
what's the availability on 25 jul 2019 for the 10 of us,Restaurant->Restaurant availability#find table{'date'= '25 jul'|1|'25 jul 2019'; 'number of people'= 'for 10'|1|'the 10 of us')}
get a table here for 18:45,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'18:45')}
reserve this one and give tom fanet as contact person,Reservation form->Reservation confirmation#continue reservation{'first name'= 'tom'|0|'tom'; 'last name'= 'fanet'|0|'fanet')}
confirm my table for 9:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9:00 pm time')}
covent garden restaurants,/->/search-listings/#search{'restaurant name or location'= 'covent garden'|0|'covent garden')}
I want to reserve for 6:15 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '18:15'|1|'6:15 pm time')}
what's the avaiability on 29 nov 2019,Restaurant->Restaurant availability#find table{'date'= '29 nov'|1|'29 nov 2019')}
what's the availability on october 24 2019 for a group of 3 friends,Restaurant->Restaurant availability#find table{'date'= '24 oct'|1|'october 24  2019'; 'number of people'= 'for 3'|1|'a group of 3 friends')}
is it available for 4:30 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '16:30'|1|'4:30 pm time')}
can they accomodate a party of 1 on 30 oct 2019,Restaurant->Restaurant availability#find table{'date'= '30 oct'|1|'30 oct 2019'; 'number of people'= 'for 1'|1|'a party of 1')}
is it available on 2 aug 2019 at 12 in the morning,Restaurant->Restaurant availability#find table{'time'= '12:00'|1|'12 in the morning'; 'date'= '2 aug'|1|'2 aug 2019')}
finalize the reservation for 9:00 in the night,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9:00 in the night')}
is it available for 6:15 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:15'|1|'6:15 pm in the evening')}
can you reserve on 24 oct 2019 for a group of 8 friends,Restaurant->Restaurant availability#find table{'date'= '24 oct'|1|'24 oct 2019'; 'number of people'= 'for 8'|1|'a group of 8 friends')}
is it available on august 26 2019 at 10:30 night time,Restaurant->Restaurant availability#find table{'time'= '22:30'|1|'10:30 night time'; 'date'= '26 aug'|1|'august 26  2019')}
what about a table here at 9:00 in the night for a party of 5 people,Restaurant->Restaurant availability#find table{'time'= '21:00'|1|'9:00 in the night'; 'number of people'= 'for 5'|1|'a party of 5 people')}
yes reserve this resturant for 7:00 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'7:00 in the evening')}
is 8 in the evening still available,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8 in the evening')}
show me some places to eat in cambridge,/->/city-restaurants#uk cities{'uk cities'= 'cambridge'|1|'cambridge')}
Is the restaurant available at 6:15 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:15'|1|'6:15 in the evening')}
get a table here for 8:15 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:15'|1|'8:15 pm in the evening')}
is it available on november 1 2019 at 1:30 morning time,Restaurant->Restaurant availability#find table{'time'= '1:30'|1|'1:30 morning time'; 'date'= '1 nov'|1|'november 1  2019')}
I want to reserve for 9:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9:00 pm time')}
show me only afternoon tea restaurants,/search-listings/->/search-listings/#cuisine{'cuisine'= 'afternoon tea'|1|'afternoon tea')}
reserve this one and give mark johnson as contact person,Reservation form->Reservation confirmation#continue reservation{'first name'= 'mark'|0|'mark'; 'last name'= 'johnson'|0|'johnson')}
make a reservation for this for 5:30 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '17:30'|1|'5:30 evening time')}
make the reservation now for 6:15 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:15'|1|'6:15 pm in the evening')}
yes reserve this resturant for 3:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'3:00 pm time')}
find me a table here for 3:30 pm in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '15:30'|1|'3:30 pm in the afternoon')}
what about a table here at 10:30 pm in the night for the 8 of us,Restaurant->Restaurant availability#find table{'time'= '22:30'|1|'10:30 pm in the night'; 'number of people'= 'for 8'|1|'the 8 of us')}
can they accomodate a group of 5 friends on october 15 2019,Restaurant->Restaurant availability#find table{'date'= '15 oct'|1|'october 15  2019'; 'number of people'= 'for 5'|1|'a group of 5 friends')}
is it available on november 13 2019 at 8:30 pm time,Restaurant->Restaurant availability#find table{'time'= '20:30'|1|'8:30 pm time'; 'date'= '13 nov'|1|'november 13  2019')}
show me some covent garden restaurants,/->/search-listings/#search{'restaurant name or location'= 'covent garden'|0|'covent garden')}
how booked it is on october 28 2019,Restaurant->Restaurant availability#find table{'date'= '28 oct'|1|'october 28  2019')}
reserve for james taylor and specify bsmith@hotmail.com as email and 4401233624 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'bsmith@hotmail.com'|0|'bsmith@hotmail.com'; 'first name'= 'james'|0|'james'; 'last name'= 'taylor'|0|'taylor'; 'phone number'= '4401233624'|0|'4401233624')}
is 3 afternoon time still available,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'3 afternoon time')}
what about a table here at 13:00 for 4 people,Restaurant->Restaurant availability#find table{'time'= '13:00'|1|'13:00'; 'number of people'= 'for 4'|1|'4 people')}
what about a table here at 6:30 in the morning for a group of 5 friends,Restaurant->Restaurant availability#find table{'time'= '6:30'|1|'6:30 in the morning'; 'number of people'= 'for 5'|1|'a group of 5 friends')}
what's the availability on 24 jul 2019 for just for 10,Restaurant->Restaurant availability#find table{'date'= '24 jul'|1|'24 jul 2019'; 'number of people'= 'for 10'|1|'just for 10')}
some frankie & benny's omni centre places where I can go,/->/search-listings/#search{'restaurant name or location'= "frankie & benny's omni centre"|0|"frankie & benny's omni centre")}
what about a table here at 10:30 in the morning for about 9 people,Restaurant->Restaurant availability#find table{'time'= '10:30'|1|'10:30 in the morning'; 'number of people'= 'for 9'|1|'about 9 people')}
anything free at 4:30 in the afternoon,Restaurant->Restaurant availability#find table{'time'= '16:30'|1|'4:30 in the afternoon')}
do they have any table left on 29 oct 2019,Restaurant->Restaurant availability#find table{'date'= '29 oct'|1|'29 oct 2019')}
do they have any table left on 19 nov 2019,Restaurant->Restaurant availability#find table{'date'= '19 nov'|1|'19 nov 2019')}
is it available on 29 nov 2019 at 6:30 morning time,Restaurant->Restaurant availability#find table{'time'= '6:30'|1|'6:30 morning time'; 'date'= '29 nov'|1|'29 nov 2019')}
what's the avaiability on 25 oct 2019,Restaurant->Restaurant availability#find table{'date'= '25 oct'|1|'25 oct 2019')}
I would like for you to make this reservation for me for 20:15,Restaurant availability->Reservation form#booking time{'booking time'= '20:15'|1|'20:15')}
is 3:00 pm time still available,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'3:00 pm time')}
find me a table here for 4:30 in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:30'|1|'4:30 in the afternoon')}
what's the availability on 9 dec 2019 for a party of 4 people,Restaurant->Restaurant availability#find table{'date'= '9 dec'|1|'9 dec 2019'; 'number of people'= 'for 4'|1|'a party of 4 people')}
book me this restaurant at 5 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5 pm time')}
tell me more about aqua shard,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'aqua shard'|1|'aqua shard')}
make the reservation now for 5 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5 in the evening')}
can you reserve on august 29 2019 for me,Restaurant->Restaurant availability#find table{'date'= '29 aug'|1|'august 29  2019'; 'number of people'= 'for 1'|1|'me')}
can I book on july 2 2019 at 4:30 pm in the afternoon for 5 persons,Restaurant->Restaurant availability#find table{'time'= '16:30'|1|'4:30 pm in the afternoon'; 'date'= '2 jul'|1|'july 2  2019'; 'number of people'= 'for 5'|1|'5 persons')}
make the reservation now for 7:30 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '19:30'|1|'7:30 in the evening')}
can they accomodate 7 guests on 20 sep 2019,Restaurant->Restaurant availability#find table{'date'= '20 sep'|1|'20 sep 2019'; 'number of people'= 'for 7'|1|'7 guests')}
reserve for mark taylor and specify mark_taylor@outlook.com as email and 7741234567 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'mark_taylor@outlook.com'|0|'mark_taylor@outlook.com'; 'first name'= 'mark'|0|'mark'; 'last name'= 'taylor'|0|'taylor'; 'phone number'= '7741234567'|0|'7741234567')}
is it available for 4:30 in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:30'|1|'4:30 in the afternoon')}
place the reservation for 9:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9:00 pm time')}
can I book on july 18 2019 at 4:00 pm time for just for 10,Restaurant->Restaurant availability#find table{'time'= '16:00'|1|'4:00 pm time'; 'date'= '18 jul'|1|'july 18  2019'; 'number of people'= 'for 10'|1|'just for 10')}
I want oblix east at the shard,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'oblix east at the shard'|1|'oblix east at the shard')}
what's the availability on 18 oct 2019 for me and my husband,Restaurant->Restaurant availability#find table{'date'= '18 oct'|1|'18 oct 2019'; 'number of people'= 'for 2'|1|'me and my husband')}
I need a reservation at this place at 18:45,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'18:45')}
more information for edinburgh,/->/city-restaurants#search{'search by name or location'= 'edinburgh'|0|'edinburgh')}
what's the availability on 17 dec 2019 for 9 people,Restaurant->Restaurant availability#find table{'date'= '17 dec'|1|'17 dec 2019'; 'number of people'= 'for 9'|1|'9 people')}
is it available for 4:30 afternoon time,Restaurant availability->Reservation form#booking time{'booking time'= '16:30'|1|'4:30 afternoon time')}
complete the reservation for 3:00 pm in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'3:00 pm in the afternoon')}
what's the availability on october 18 2019 for 4 guests,Restaurant->Restaurant availability#find table{'date'= '18 oct'|1|'october 18  2019'; 'number of people'= 'for 4'|1|'4 guests')}
what's the avaiability on december 31 2019,Restaurant->Restaurant availability#find table{'date'= '31 dec'|1|'december 31  2019')}
avaiability for 9:00 pm in the night,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9:00 pm in the night')}
can I book on july 24 2019 at 1:30 for 6 persons,Restaurant->Restaurant availability#find table{'time'= '1:30'|1|'1:30'; 'date'= '24 jul'|1|'july 24  2019'; 'number of people'= 'for 6'|1|'6 persons')}
details on jamies st mary at hill,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'jamies st mary at hill'|1|'jamies st mary at hill')}
can I book on 23 aug 2019 at 4:30 morning time for me my wife and my daughter,Restaurant->Restaurant availability#find table{'time'= '4:30'|1|'4:30 morning time'; 'date'= '23 aug'|1|'23 aug 2019'; 'number of people'= 'for 3'|1|'me my wife and my daughter')}
I want a table here for 8 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8 pm time')}
can I get a table here for 8 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8 evening time')}
Is the restaurant available at 7:30 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '19:30'|1|'7:30 pm time')}
can I book on 19 dec 2019 at 7:30 am in the morning for 10 people,Restaurant->Restaurant availability#find table{'time'= '7:30'|1|'7:30 am in the morning'; 'date'= '19 dec'|1|'19 dec 2019'; 'number of people'= 'for 10'|1|'10 people')}
can I get a table here for 6:45 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'6:45 evening time')}
can I book on september 16 2019 at 1 am time for 1,Restaurant->Restaurant availability#find table{'time'= '1:00'|1|'1 am time'; 'date'= '16 sep'|1|'september 16  2019'; 'number of people'= 'for 1'|1|'1')}
complete the reservation for 8 o'clock,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|"8 o'clock")}
book it at 5 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5 in the evening')}
what about a table here at 5 evening time for a party of 1,Restaurant->Restaurant availability#find table{'time'= '17:00'|1|'5 evening time'; 'number of people'= 'for 1'|1|'a party of 1')}
do they have any table left on december 26 2019,Restaurant->Restaurant availability#find table{'date'= '26 dec'|1|'december 26  2019')}
reserve for mark fanet and specify tom.fanet@gmail.com as email and 3124569876 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'tom.fanet@gmail.com'|0|'tom.fanet@gmail.com'; 'first name'= 'mark'|0|'mark'; 'last name'= 'fanet'|0|'fanet'; 'phone number'= '3124569876'|0|'3124569876')}
what's the availability on november 18 2019 for me my wife and my daughter,Restaurant->Restaurant availability#find table{'date'= '18 nov'|1|'november 18  2019'; 'number of people'= 'for 3'|1|'me my wife and my daughter')}
restaurants in london,/->/city-restaurants#search{'search by name or location'= 'london'|0|'london')}||/->/city-restaurants#uk cities{'uk cities'= 'london'|1|'london')}
I want a table here for 8:00 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8:00 pm in the evening')}
what about a table here at 2:30 afternoon time for about 11 people,Restaurant->Restaurant availability#find table{'time'= '14:30'|1|'2:30 afternoon time'; 'number of people'= 'for 11'|1|'about 11 people')}
is it available for 6:00 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6:00 pm in the evening')}
